default,housing,loan,age,balance,day,duration,campaign,previous,Edu,admin,blueCollar,entrepreneur,housemaid,management,retired,selfEmployed,services,student,technician,unemployed,jobUnknown,divorced,married,single,cellular,telephone,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,failure,other,success,neverContacted,recentlyContacted,sometimeAgoContacted,aWhileAgoContacted,longTimeAgoContacted,y
0,0,0,0.161764705882353,0.0684554569737319,0.6,0.0248262164846077,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,1,1,0.205882352941176,0.108750218117878,0.333333333333333,0.0714995034756703,0,0.16,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.22,0.78,0
0,1,0,0.235294117647059,0.0625897638957866,0.5,0.0599139357828534,0,0.04,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0.6,0
0,1,1,0.161764705882353,0.0642810163621965,0.0666666666666667,0.0645481628599801,0.0612244897959184,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0.588235294117647,0.0444692017556811,0.133333333333333,0.0734856007944389,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0.235294117647059,0.0544959128065395,0.733333333333333,0.0453492221118835,0.0204081632653061,0.12,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0.25,0.0485899518127273,0.433333333333333,0.111552466070837,0,0.08,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.4,0.6,0
0,1,0,0.294117647058824,0.0464423296331593,0.166666666666667,0.0486593843098312,0.0204081632653061,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0.323529411764706,0.0474356048912095,0.433333333333333,0.0175438596491228,0.0204081632653061,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,0.352941176470588,0.0432880095569187,0.533333333333333,0.102284011916584,0,0.08,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.06,0.94,0,0,0
0,1,0,0.294117647058824,0.170293016201125,0.633333333333333,0.0890433631247931,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0.352941176470588,0.0480127783519684,0.533333333333333,0.0360807679576299,0.0204081632653061,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0.25,0.0593549079878122,0.4,0.107249255213505,0.0204081632653061,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0.0147058823529412,0.0512073663440759,0.966666666666667,0.0850711684872559,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1,1,0.176470588235294,0.0493013516597093,0.933333333333333,0.0281363786825554,0,0.04,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.18,0.82,0,0
0,0,1,0.308823529411765,0.0470731936484074,0.933333333333333,0.0612380006620324,0.0204081632653061,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0.544117647058823,0.0991396088643105,0.866666666666667,0.0777888116517709,0.0816326530612245,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0.264705882352941,0.0755694554435511,0.633333333333333,0.0364117841774247,0,0.08,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0.0882352941176471,0.0415027986201527,0.733333333333333,0.0814299900695134,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0.176470588235294,0.0462409900538248,0.2,0.0476663356504469,0,0.04,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,0,0.279411764705882,0.0444692017556811,0.566666666666667,0.0304534922211188,0.0204081632653061,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0.338235294117647,0.0446839639736379,0.6,0.0450182058920887,0.0408163265306122,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0.367647058823529,0.045892001449645,0.366666666666667,0.0347567030784508,0.0204081632653061,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0.367647058823529,0.0457175071475551,0.2,0.0400529625951672,0.0204081632653061,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0.102941176470588,0.0517576945275902,0.966666666666667,0.054617676266137,0.0408163265306122,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
